product_type;product_name;keywords;other_names
карта;Aurum;карта,золотистый,черный,мастеркард,мастер;aurum,gold,золото,голд,голдовый,аурум,золотой
карта;Generation;карта,вертикальный,фиолетовый,мастеркард,мастер;generation,дженерейшн,генерейшн,генерейшнл,генерация
карта;Evolution;карта,черный,леопард,тигр,гепард,кот,котик,животное,виза,виса,мастеркард,мастер;evolution,эволюшн,эвалюшн,эволюция
карта;Premium;карта,черный,бесконечность,восьмерка,виза,виса,мастеркард,мастер;premium,премиум
карта;Mir;карта,синий;мир,долголетие
карта;Emotion;карта,кредитка,кредитный,белый,леопард,тигр,гепард,кот,котик,животное,виза,виса,мастеркард,мастер,emotion;emotion,эмоушн,emotion карта
кредит;Кредит наличными;кредит;кредит наличный,кредит наличные
кредит;Кредит под залог недвижимости;кредит;кредит под залог недвижимость,кредит под недвижимость
кредит;Кредит (Рефинансирование);кредит;кредит на рефинансирование
кредит;Кредит на личное подсобное хозяйство;кредит;кредит на личный подсобный хозяйство,кредит на личный хозяйство,кредит на хозяйство
ипотека;Ипотека на Вторичное жилье;ипотека;ипотека на вторичный жилье,вторичный жилье
ипотека;Ипотека на Новостройки с господдержкой;ипотека;ипотека на новостройка с господдержка,новостройка с господдержка
ипотека;Ипотека на Новостройки;ипотека;ипотека на новостройка
ипотека;Рефинансирование ипотеки;ипотека;рефинансирование ипотека
ипотека;Ипотека Господдержка для семей с детьми;ипотека;ипотека господдержка для семья с ребенок
ипотека;Ипотека на Коммерческую недвижимость;ипотека;ипотека на коммерческий недвижимость
ипотека;Ипотека на Дом и земельный участок;ипотека;ипотека на дом и земельный участок,ипотека на дом,ипотека на земельный участок
вклад;367 дней Я сам!;вклад;я сам,вклад я сам
вклад;Просто накопить;вклад;вклад просто накопить,просто накопить
вклад;Просто преумножить;вклад;вклад просто преумножить,просто преумножить
вклад;Просто управлять;вклад;вклад просто управлять,просто управлять
вклад;Просто поймать момент;вклад;вклад просто поймать момент,просто поймать момент
вклад;Уверенное будущее;вклад;вклад уверенный будущее,уверенный будущее,надежный будущее
счет;Текущий счет Зарплата;счет;текущий счет зарплата,зарплата
счет;Текущий счет Переводы и платежи;счет;текущий счет перевод и платеж,перевод и платеж